nome_projeto,tempo_execucao_meses,custo_total_mil_reais,recursos_humanos,complexidade_tecnica,grau_inovacao,setor_atuacao,risco,viavel
Projeto_1,22,728,21,Média,Médio,Saúde,Baixo,0
Projeto_2,14,632,10,Alta,Médio,Tecnologia,Baixo,0
Projeto_3,23,923,11,Baixa,Médio,Industrial,Médio,0
Projeto_4,13,615,18,Média,Baixo,Tecnologia,Médio,1
Projeto_5,11,294,13,Média,Médio,Educação,Médio,1
Projeto_6,20,911,7,Baixa,Alto,Saúde,Alto,1
Projeto_7,5,125,20,Baixa,Alto,Financeiro,Alto,1
Projeto_8,22,596,12,Alta,Alto,Saúde,Baixo,1
Projeto_9,19,316,10,Média,Alto,Educação,Alto,1
Projeto_10,16,366,22,Baixa,Baixo,Financeiro,Alto,1
Projeto_11,3,861,7,Baixa,Baixo,Financeiro,Alto,0
Projeto_12,19,170,28,Média,Baixo,Tecnologia,Médio,0
Projeto_13,10,885,26,Média,Baixo,Industrial,Médio,0
Projeto_14,7,74,26,Média,Baixo,Tecnologia,Médio,1
Projeto_15,7,481,25,Baixa,Médio,Financeiro,Médio,1
Projeto_16,11,209,26,Alta,Médio,Financeiro,Alto,0
Projeto_17,5,645,17,Média,Alto,Industrial,Baixo,1
Projeto_18,21,163,21,Média,Médio,Saúde,Baixo,1
Projeto_19,11,784,17,Média,Alto,Industrial,Alto,0
Projeto_20,20,949,7,Média,Baixo,Tecnologia,Baixo,0
Projeto_21,18,551,6,Alta,Baixo,Saúde,Alto,0
Projeto_22,3,215,22,Alta,Médio,Tecnologia,Médio,0
Projeto_23,4,752,5,Média,Baixo,Industrial,Baixo,1
Projeto_24,16,224,3,Alta,Baixo,Saúde,Médio,1
Projeto_25,16,50,29,Média,Baixo,Industrial,Médio,1
Projeto_26,3,948,7,Alta,Baixo,Educação,Médio,1
Projeto_27,18,790,10,Baixa,Médio,Financeiro,Alto,1
Projeto_28,17,135,29,Média,Médio,Saúde,Alto,1
Projeto_29,17,623,18,Baixa,Médio,Financeiro,Médio,1
Projeto_30,14,369,15,Alta,Médio,Educação,Baixo,1
Projeto_31,18,450,8,Baixa,Baixo,Saúde,Alto,1
Projeto_32,16,431,23,Média,Baixo,Financeiro,Médio,0
Projeto_33,17,767,20,Média,Baixo,Financeiro,Baixo,1
Projeto_34,17,666,2,Média,Baixo,Saúde,Alto,0
Projeto_35,21,367,21,Média,Médio,Financeiro,Alto,1
Projeto_36,10,852,26,Alta,Médio,Financeiro,Médio,1
Projeto_37,4,299,16,Média,Médio,Saúde,Médio,0
Projeto_38,4,574,19,Alta,Baixo,Financeiro,Médio,1
Projeto_39,12,724,4,Baixa,Médio,Financeiro,Médio,0
Projeto_40,5,604,19,Média,Médio,Tecnologia,Alto,0
Projeto_41,19,947,3,Média,Médio,Tecnologia,Alto,0
Projeto_42,10,672,11,Baixa,Médio,Educação,Médio,1
Projeto_43,6,766,12,Média,Médio,Tecnologia,Médio,1
Projeto_44,16,945,28,Média,Médio,Tecnologia,Alto,1
Projeto_45,23,305,25,Média,Médio,Educação,Baixo,1
Projeto_46,12,356,4,Média,Baixo,Financeiro,Baixo,0
Projeto_47,3,999,8,Média,Médio,Financeiro,Alto,0
Projeto_48,6,193,9,Baixa,Baixo,Tecnologia,Baixo,0
Projeto_49,3,707,20,Baixa,Baixo,Educação,Baixo,1
Projeto_50,19,440,19,Média,Alto,Financeiro,Baixo,1
Projeto_51,19,862,14,Baixa,Alto,Industrial,Médio,0
Projeto_52,9,725,14,Baixa,Baixo,Saúde,Baixo,0
Projeto_53,22,218,25,Média,Médio,Saúde,Médio,0
Projeto_54,17,347,20,Média,Baixo,Saúde,Alto,1
Projeto_55,15,282,24,Média,Médio,Tecnologia,Médio,0
Projeto_56,4,952,13,Média,Alto,Saúde,Médio,0
Projeto_57,21,320,18,Média,Alto,Saúde,Baixo,0
Projeto_58,15,109,29,Média,Médio,Industrial,Médio,1
Projeto_59,13,345,23,Média,Baixo,Financeiro,Médio,1
Projeto_60,17,516,13,Média,Médio,Industrial,Médio,1
Projeto_61,12,284,29,Média,Baixo,Tecnologia,Baixo,1
Projeto_62,11,726,14,Média,Alto,Saúde,Médio,1
Projeto_63,11,755,26,Baixa,Alto,Financeiro,Alto,1
Projeto_64,22,283,13,Média,Médio,Saúde,Médio,0
Projeto_65,3,417,20,Média,Baixo,Saúde,Médio,1
Projeto_66,19,744,15,Alta,Baixo,Tecnologia,Médio,1
Projeto_67,14,894,8,Alta,Baixo,Saúde,Médio,0
Projeto_68,12,281,14,Média,Alto,Educação,Médio,1
Projeto_69,7,922,7,Baixa,Médio,Financeiro,Baixo,0
Projeto_70,20,540,25,Baixa,Baixo,Financeiro,Médio,0
Projeto_71,17,668,20,Média,Médio,Educação,Alto,0
Projeto_72,8,552,20,Média,Alto,Tecnologia,Médio,0
Projeto_73,9,939,5,Baixa,Baixo,Saúde,Baixo,1
Projeto_74,19,784,20,Média,Alto,Saúde,Baixo,1
Projeto_75,8,641,10,Baixa,Alto,Financeiro,Médio,1
Projeto_76,10,795,17,Alta,Alto,Tecnologia,Alto,1
Projeto_77,14,430,28,Baixa,Baixo,Tecnologia,Médio,0
Projeto_78,23,745,5,Alta,Baixo,Tecnologia,Médio,1
Projeto_79,16,477,7,Alta,Baixo,Saúde,Baixo,1
Projeto_80,14,746,9,Média,Baixo,Tecnologia,Médio,0
Projeto_81,12,695,28,Média,Baixo,Educação,Médio,1
Projeto_82,22,781,25,Média,Médio,Industrial,Alto,1
Projeto_83,17,849,17,Média,Médio,Tecnologia,Médio,1
Projeto_84,9,413,6,Média,Alto,Industrial,Médio,0
Projeto_85,11,251,22,Média,Baixo,Saúde,Médio,0
Projeto_86,12,931,23,Média,Médio,Tecnologia,Médio,1
Projeto_87,12,195,11,Média,Médio,Financeiro,Alto,1
Projeto_88,18,885,24,Média,Médio,Saúde,Baixo,0
Projeto_89,9,688,14,Baixa,Alto,Educação,Médio,1
Projeto_90,7,506,27,Média,Médio,Educação,Médio,0
Projeto_91,5,184,15,Baixa,Alto,Industrial,Médio,0
Projeto_92,20,675,8,Baixa,Baixo,Industrial,Baixo,1
Projeto_93,13,313,21,Baixa,Médio,Financeiro,Médio,1
Projeto_94,17,113,7,Baixa,Baixo,Financeiro,Médio,0
Projeto_95,23,540,8,Baixa,Baixo,Educação,Alto,0
Projeto_96,22,696,6,Alta,Baixo,Tecnologia,Baixo,1
Projeto_97,7,90,22,Baixa,Baixo,Educação,Alto,1
Projeto_98,14,345,19,Média,Baixo,Educação,Baixo,0
Projeto_99,6,52,24,Baixa,Baixo,Financeiro,Baixo,0
Projeto_100,17,962,13,Alta,Baixo,Industrial,Baixo,1
Projeto_101,11,755,7,Média,Alto,Financeiro,Alto,1
Projeto_102,9,159,28,Média,Baixo,Financeiro,Baixo,0
Projeto_103,12,270,2,Média,Médio,Financeiro,Médio,1
Projeto_104,15,419,5,Média,Baixo,Educação,Médio,0
Projeto_105,10,417,20,Média,Alto,Tecnologia,Alto,1
Projeto_106,14,485,13,Baixa,Alto,Educação,Alto,1
Projeto_107,21,967,16,Alta,Médio,Saúde,Médio,1
Projeto_108,3,53,4,Média,Médio,Financeiro,Alto,0
Projeto_109,18,293,24,Média,Baixo,Financeiro,Médio,1
Projeto_110,19,951,28,Média,Alto,Saúde,Alto,1
Projeto_111,20,215,29,Média,Alto,Financeiro,Baixo,1
Projeto_112,13,75,27,Alta,Alto,Financeiro,Baixo,1
Projeto_113,20,444,21,Média,Médio,Financeiro,Médio,0
Projeto_114,9,523,29,Média,Baixo,Saúde,Médio,1
Projeto_115,20,66,9,Baixa,Alto,Educação,Médio,1
Projeto_116,10,777,12,Alta,Baixo,Financeiro,Médio,1
